%% LAL: 7.1.5 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALFrame: 1.6.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALMetaIO: 2.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALSimulation: 3.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALBurst: 1.5.10 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInspiral: 2.0.4 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALPulsar: 3.1.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInference: 3.0.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALApps: 7.4.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% argv[0]: '/home/m206265/.local/bin/lalapps_ComputeAntennaPattern'
%% argv[1]: '-a'
%% argv[2]: '1.45968'
%% argv[3]: '-d'
%% argv[4]: '0.38422'
%% argv[5]: '--ephemSun=/home/m206265/lalapps_work/data/sun00-19-DE405.dat'
%% argv[6]: '--ephemEarth=/home/m206265/lalapps_work/data/earth00-19-DE405.dat'
%% argv[7]: '-I'
%% argv[8]: 'L1'
%% argv[9]: '-T'
%% argv[10]: '/home/m206265/lalapps_work/data/O2_1_L1_tslist.txt'
%% argv[11]: '--Tsft=1800'
%% argv[12]: '--noiseSqrtShX=0.00751'
%% argv[13]: '-o'
%% argv[14]: 'AntPatt_L1.txt'
%% argv[15]: '-O'
%% argv[16]: 'ABCD_L1.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
1.4596800  0.3842200  1168382359   0.39428091   0.40270489
1.4596800  0.3842200  1168384159   0.48188072   0.35868460
1.4596800  0.3842200  1168385959   0.57372153   0.29779202
1.4596800  0.3842200  1168387759   0.66379213   0.22044033
1.4596800  0.3842200  1168389559   0.74602807   0.12811713
1.4596800  0.3842200  1168391359   0.81470335   0.02332262
1.4596800  0.3842200  1168393159   0.86483622  -0.09052014
1.4596800  0.3842200  1168394959   0.89254320  -0.20924124
1.4596800  0.3842200  1168396759   0.89528096  -0.32814473
1.4596800  0.3842200  1168398559   0.87208080  -0.44227442
1.4596800  0.3842200  1168400359   0.82358444  -0.54669535
1.4596800  0.3842200  1168402159   0.75203359  -0.63678086
1.4596800  0.3842200  1168403959   0.66114771  -0.70849752
1.4596800  0.3842200  1168405759   0.55585825  -0.75862038
1.4596800  0.3842200  1168407559   0.44202769  -0.78495771
1.4596800  0.3842200  1168409359   0.32604581  -0.78645355
1.4596800  0.3842200  1168419430  -0.08890668  -0.40282702
1.4596800  0.3842200  1168421230  -0.08919796  -0.29270330
1.4596800  0.3842200  1168423030  -0.06500569  -0.18144898
1.4596800  0.3842200  1168424830  -0.01884785  -0.07361489
1.4596800  0.3842200  1168426630   0.04541931   0.02675414
1.4596800  0.3842200  1168428430   0.12285970   0.11634256
1.4596800  0.3842200  1168430230   0.20781901   0.19272485
1.4596800  0.3842200  1168432030   0.29431099   0.25446969
1.4596800  0.3842200  1168433830   0.37643552   0.30117929
1.4596800  0.3842200  1168435630   0.44877243   0.33343476
1.4596800  0.3842200  1168437430   0.50676441   0.35271126
1.4596800  0.3842200  1168439230   0.54701114   0.36119848
1.4596800  0.3842200  1168441030   0.56748903   0.36159328
1.4596800  0.3842200  1168442830   0.56769788   0.35686684
1.4596800  0.3842200  1168453734   0.28514203   0.36053368
1.4596800  0.3842200  1168459833   0.17740704   0.42225713
1.4596800  0.3842200  1168461633   0.18537709   0.43698871
1.4596800  0.3842200  1168463433   0.21414320   0.44465959
1.4596800  0.3842200  1168465233   0.26279908   0.44217339
1.4596800  0.3842200  1168467033   0.32894045   0.42677823
1.4596800  0.3842200  1168468833   0.40881211   0.39631584
1.4596800  0.3842200  1168470633   0.49755421   0.34940484
1.4596800  0.3842200  1168472433   0.58952415   0.28561753
1.4596800  0.3842200  1168481426   0.89479387  -0.22937091
1.4596800  0.3842200  1168483638   0.88917458  -0.37432450
1.4596800  0.3842200  1168485438   0.85575676  -0.48517740
