%% LAL: 7.1.5 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALFrame: 1.6.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALMetaIO: 2.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALSimulation: 3.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALBurst: 1.5.10 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInspiral: 2.0.4 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALPulsar: 3.1.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInference: 3.0.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALApps: 7.4.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% argv[0]: '/home/m206265/.local/bin/lalapps_ComputeAntennaPattern'
%% argv[1]: '-a'
%% argv[2]: '1.45968'
%% argv[3]: '-d'
%% argv[4]: '0.38422'
%% argv[5]: '--ephemSun=/home/m206265/lalapps_work/data/sun00-19-DE405.dat'
%% argv[6]: '--ephemEarth=/home/m206265/lalapps_work/data/earth00-19-DE405.dat'
%% argv[7]: '-I'
%% argv[8]: 'H1'
%% argv[9]: '-T'
%% argv[10]: '/home/m206265/lalapps_work/data/O2_1_H1_tslist.txt'
%% argv[11]: '--Tsft=1800'
%% argv[12]: '--noiseSqrtShX=0.00751'
%% argv[13]: '-o'
%% argv[14]: 'AntPatt_H1.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
1.4596800  0.3842200  1168405502  -0.43592188   0.79348081
1.4596800  0.3842200  1168407302  -0.31250763   0.85534543
1.4596800  0.3842200  1168409102  -0.17723796   0.88953042
1.4596800  0.3842200  1168410902  -0.03783607   0.89449698
1.4596800  0.3842200  1168491517  -0.44538727   0.78719497
1.4596800  0.3842200  1168493317  -0.32328272   0.85124451
1.4596800  0.3842200  1168495117  -0.18870756   0.88779384
1.4596800  0.3842200  1168496917  -0.04934545   0.89520675
1.4596800  0.3842200  1168498717   0.08682563   0.87329346
1.4596800  0.3842200  1168500517   0.21204427   0.82330924
1.4596800  0.3842200  1168503729   0.38695738   0.67343700
1.4596800  0.3842200  1168505529   0.44856265   0.56288707
1.4596800  0.3842200  1168507329   0.47992381   0.43984714
1.4596800  0.3842200  1168652849  -0.62868363   0.04552855
1.4596800  0.3842200  1168654649  -0.67508203   0.17985657
1.4596800  0.3842200  1168656449  -0.69222784   0.31711543
1.4596800  0.3842200  1168658249  -0.67811465   0.45145446
1.4596800  0.3842200  1168660049  -0.63268840   0.57689202
1.4596800  0.3842200  1168661849  -0.55791998   0.68768829
1.4596800  0.3842200  1168663649  -0.45764086   0.77867049
1.4596800  0.3842200  1168665449  -0.33732709   0.84555322
1.4596800  0.3842200  1168688764   0.21162298  -0.17109656
1.4596800  0.3842200  1168690564   0.10576547  -0.25614816
1.4596800  0.3842200  1168692793  -0.02687744  -0.33592534
1.4596800  0.3842200  1168808006   0.17262438  -0.46446407
1.4596800  0.3842200  1168809806   0.14346096  -0.48008546
1.4596800  0.3842200  1168811606   0.08927386  -0.48475555
1.4596800  0.3842200  1168813406   0.01277895  -0.47492117
1.4596800  0.3842200  1168815206  -0.08162069  -0.44768828
1.4596800  0.3842200  1168826846  -0.67265117   0.16989917
1.4596800  0.3842200  1168828646  -0.69202548   0.30713981
1.4596800  0.3842200  1168830446  -0.68020767   0.44189125
1.4596800  0.3842200  1168847840   0.36271402   0.70363933
1.4596800  0.3842200  1168849640   0.43299237   0.59795475
1.4596800  0.3842200  1168851440   0.47371110   0.47810379
1.4596800  0.3842200  1168853240   0.48332843   0.34977040
1.4596800  0.3842200  1168855040   0.46231744   0.21881303
1.4596800  0.3842200  1168856840   0.41308632   0.09089671
1.4596800  0.3842200  1168858640   0.33980325  -0.02882872
1.4596800  0.3842200  1168860440   0.24811152  -0.13602671
1.4596800  0.3842200  1168862240   0.14470848  -0.22739543
1.4596800  0.3842200  1168864040   0.03690078  -0.30083406
1.4596800  0.3842200  1168865840  -0.06791396  -0.35551089
1.4596800  0.3842200  1168867640  -0.16274565  -0.39184037
1.4596800  0.3842200  1168869440  -0.24149594  -0.41140348
1.4596800  0.3842200  1168871240  -0.29935828  -0.41674459
1.4596800  0.3842200  1168873040  -0.33314726  -0.41114911
1.4596800  0.3842200  1168874840  -0.34150192  -0.39834833
1.4596800  0.3842200  1168876640  -0.32494721  -0.38220084
1.4596800  0.3842200  1168878440  -0.28587031  -0.36639085
1.4596800  0.3842200  1168880240  -0.22830281  -0.35411707
1.4596800  0.3842200  1168882040  -0.15764149  -0.34784529
1.4596800  0.3842200  1168883840  -0.08024743  -0.34910977
1.4596800  0.3842200  1168885640  -0.00298179  -0.35838696
1.4596800  0.3842200  1168887440   0.06728672  -0.37505701
1.4596800  0.3842200  1168889240   0.12418269  -0.39744252
1.4596800  0.3842200  1168891040   0.16228452  -0.42293349
1.4596800  0.3842200  1168892840   0.17753065  -0.44818863
1.4596800  0.3842200  1168894640   0.16750491  -0.46938163
1.4596800  0.3842200  1168896440   0.13164970  -0.48251358
1.4596800  0.3842200  1168898240   0.07130610  -0.48371989
1.4596800  0.3842200  1168900040  -0.01035296  -0.46958536
1.4596800  0.3842200  1168919511  -0.59585327   0.63875008
1.4596800  0.3842200  1168921311  -0.50675011   0.73946178
1.4596800  0.3842200  1168923111  -0.39490575   0.81792569
1.4596800  0.3842200  1168924911  -0.26654190   0.87045062
1.4596800  0.3842200  1168926711  -0.12893862   0.89459407
1.4596800  0.3842200  1168928511   0.01002876   0.88934296
1.4596800  0.3842200  1168930311   0.14241272   0.85512590
1.4596800  0.3842200  1168932111   0.26070547   0.79382175
1.4596800  0.3842200  1168933911   0.35833263   0.70862150
1.4596800  0.3842200  1168935711   0.43006092   0.60381526
1.4596800  0.3842200  1168937511   0.47236171   0.48455971
1.4596800  0.3842200  1168939311   0.48359528   0.35652223
1.4596800  0.3842200  1168941111   0.46412393   0.22555786
1.4596800  0.3842200  1168942911   0.41626605   0.09735254
1.4596800  0.3842200  1168944711   0.34409848  -0.02291083
1.4596800  0.3842200  1168946511   0.25320122  -0.13084683
1.4596800  0.3842200  1168948311   0.15022847  -0.22309747
1.4596800  0.3842200  1168952428  -0.09139014  -0.36567760
1.4596800  0.3842200  1168954228  -0.18294111  -0.39787680
1.4596800  0.3842200  1168956028  -0.25715002  -0.41383016
1.4596800  0.3842200  1168957828  -0.30956426  -0.41627812
1.4596800  0.3842200  1168959628  -0.33741552  -0.40863955
1.4596800  0.3842200  1168961428  -0.33978638  -0.39470494
1.4596800  0.3842200  1168963228  -0.31764761  -0.37831867
1.4596800  0.3842200  1168965028  -0.27379701  -0.36307696
1.4596800  0.3842200  1168966828  -0.21261725  -0.35202652
1.4596800  0.3842200  1168968628  -0.13977119  -0.34742907
1.4596800  0.3842200  1168970428  -0.06178083  -0.35057840
1.4596800  0.3842200  1168981277   0.16056734  -0.47377664
1.4596800  0.3842200  1168983077   0.11806893  -0.48413464
1.4596800  0.3842200  1168984877   0.05174657  -0.48161522
1.4596800  0.3842200  1168986677  -0.03477315  -0.46297511
1.4596800  0.3842200  1168988477  -0.13630369  -0.42578292
1.4596800  0.3842200  1168990277  -0.24643859  -0.36866200
1.4596800  0.3842200  1168992077  -0.35798609  -0.29142836
1.4596800  0.3842200  1168993877  -0.46345484  -0.19519924
1.4596800  0.3842200  1168995677  -0.55556405  -0.08237211
1.4596800  0.3842200  1168997477  -0.62773508   0.04346528
1.4596800  0.3842200  1168999277  -0.67457080   0.17770225
1.4596800  0.3842200  1169001077  -0.69219834   0.31495994
1.4596800  0.3842200  1169002877  -0.67857808   0.44938949
1.4596800  0.3842200  1169004677  -0.63364309   0.57501680
1.4596800  0.3842200  1169006477  -0.55930710   0.68608266
1.4596800  0.3842200  1169008277  -0.45939231   0.77741385
1.4596800  0.3842200  1169015480   0.07050406   0.87754047
1.4596800  0.3842200  1169017280   0.19747111   0.83090007
1.4596800  0.3842200  1169019080   0.30726308   0.75844300
1.4596800  0.3842200  1169020880   0.39385945   0.66388518
1.4596800  0.3842200  1169022680   0.45276079   0.55194670
1.4596800  0.3842200  1169024480   0.48124823   0.42804062
1.4596800  0.3842200  1169026280   0.47858974   0.29797363
1.4596800  0.3842200  1169028080   0.44602725   0.16756333
1.4596800  0.3842200  1169029880   0.38669494   0.04230974
1.4596800  0.3842200  1169031680   0.30539206  -0.07292788
1.4596800  0.3842200  1169033480   0.20822147  -0.17419502
1.4596800  0.3842200  1169035280   0.10218724  -0.25865543
1.4596800  0.3842200  1169037080  -0.00530959  -0.32470363
1.4596800  0.3842200  1169038880  -0.10697197  -0.37200555
1.4596800  0.3842200  1169040680  -0.19611135  -0.40146032
1.4596800  0.3842200  1169042480  -0.26708999  -0.41504580
1.4596800  0.3842200  1169044280  -0.31571570  -0.41563833
1.4596800  0.3842200  1169046080  -0.33950552  -0.40673381
1.4596800  0.3842200  1169047880  -0.33783770  -0.39214957
1.4596800  0.3842200  1169049680  -0.31199759  -0.37571737
1.4596800  0.3842200  1169051480  -0.26504129  -0.36095846
1.4596800  0.3842200  1169053280  -0.20158747  -0.35081157
1.4596800  0.3842200  1169055080  -0.12746543  -0.34739378
1.4596800  0.3842200  1169069023   0.12454068  -0.48349422
1.4596800  0.3842200  1169070823   0.06094625  -0.48272184
1.4596800  0.3842200  1169072623  -0.02337568  -0.46618024
1.4596800  0.3842200  1169086777  -0.69059461   0.27960211
1.4596800  0.3842200  1169088577  -0.68512070   0.41533446
1.4596800  0.3842200  1169090377  -0.64814931   0.54379386
1.4596800  0.3842200  1169092177  -0.58110666   0.65914220
1.4596800  0.3842200  1169120588   0.15325752  -0.22071265
1.4596800  0.3842200  1169122388   0.04552837  -0.29563835
1.4596800  0.3842200  1169124188  -0.05979205  -0.35181627
1.4596800  0.3842200  1169125988  -0.15566418  -0.38957477
1.4596800  0.3842200  1169127788  -0.23590004  -0.41039926
1.4596800  0.3842200  1169138625  -0.23216003  -0.35470083
1.4596800  0.3842200  1169140425  -0.16210763  -0.34801820
1.4596800  0.3842200  1169142225  -0.08492489  -0.34880909
1.4596800  0.3842200  1169144025  -0.00745678  -0.35761577
1.4596800  0.3842200  1169165774  -0.43914095  -0.21987313
1.4596800  0.3842200  1169167574  -0.53508496  -0.11073813
1.4596800  0.3842200  1169169374  -0.61257440   0.01236855
1.4596800  0.3842200  1169171174  -0.66589373   0.14505872
1.4596800  0.3842200  1169178290  -0.58339584   0.65609741
1.4596800  0.3842200  1169180090  -0.49031141   0.75355971
1.4596800  0.3842200  1169181890  -0.37538779   0.82811058
1.4596800  0.3842200  1169183690  -0.24504101   0.87623703
1.4596800  0.3842200  1169185490  -0.10668597   0.89573503
1.4596800  0.3842200  1169187290   0.03175954   0.88579851
1.4596800  0.3842200  1169189090   0.16238281   0.84710622
1.4596800  0.3842200  1169190890   0.27779585   0.78175372
1.4596800  0.3842200  1169192690   0.37160286   0.69311124
1.4596800  0.3842200  1169194490   0.43883702   0.58564544
1.4596800  0.3842200  1169196290   0.47624543   0.46460065
1.4596800  0.3842200  1169198090   0.48251125   0.33570498
1.4596800  0.3842200  1169199890   0.45831892   0.20480976
1.4596800  0.3842200  1169201690   0.40626654   0.07753979
1.4596800  0.3842200  1169209579  -0.01531862  -0.32999220
1.4596800  0.3842200  1169211379  -0.11606663  -0.37554383
1.4596800  0.3842200  1169213179  -0.20370474  -0.40339217
1.4596800  0.3842200  1169214979  -0.27271673  -0.41560888
1.4596800  0.3842200  1169216779  -0.31906396  -0.41514277
1.4596800  0.3842200  1169218579  -0.34043422  -0.40553260
1.4596800  0.3842200  1169220379  -0.33638844  -0.39061111
1.4596800  0.3842200  1169222179  -0.30838692  -0.37419373
1.4596800  0.3842200  1169223979  -0.25964439  -0.35975739
1.4596800  0.3842200  1169232707   0.08838335  -0.38212383
1.4596800  0.3842200  1169234507   0.13944912  -0.40589601
1.4596800  0.3842200  1169236307   0.17017624  -0.43171197
1.4596800  0.3842200  1169238107   0.17702869  -0.45603260
1.4596800  0.3842200  1169239907   0.15820831  -0.47493914
1.4596800  0.3842200  1169241707   0.11380257  -0.48444414
1.4596800  0.3842200  1169243507   0.04578275  -0.48079440
1.4596800  0.3842200  1169245307  -0.04208680  -0.46080822
1.4596800  0.3842200  1169247107  -0.14451399  -0.42212784
1.4596800  0.3842200  1169248907  -0.25501770  -0.36345494
1.4596800  0.3842200  1169250707  -0.36636701  -0.28471521
1.4596800  0.3842200  1169252507  -0.47106332  -0.18711406
1.4596800  0.3842200  1169254307  -0.56186551  -0.07314992
1.4596800  0.3842200  1169256107  -0.63227588   0.05350380
1.4596800  0.3842200  1169257907  -0.67698658   0.18817006
1.4596800  0.3842200  1169259707  -0.69227535   0.32542214
1.4596800  0.3842200  1169261507  -0.67623425   0.45938814
1.4596800  0.3842200  1169263307  -0.62895322   0.58409750
1.4596800  0.3842200  1169265107  -0.55250895   0.69383156
1.4596800  0.3842200  1169266907  -0.45083815   0.78345752
1.4596800  0.3842200  1169268707  -0.32951707   0.84876704
1.4596800  0.3842200  1169270507  -0.19537178   0.88669258
1.4596800  0.3842200  1169275996   0.21218643   0.82323247
1.4596800  0.3842200  1169277796   0.31939742   0.74780601
1.4596800  0.3842200  1169279596   0.40276173   0.65081316
1.4596800  0.3842200  1169281396   0.45798758   0.53707856
1.4596800  0.3842200  1169283196   0.48260978   0.41209134
1.4596800  0.3842200  1169284996   0.47612193   0.28166610
1.4596800  0.3842200  1169293912   0.09379932  -0.26445317
1.4596800  0.3842200  1169295712  -0.01350119  -0.32904196
1.4596800  0.3842200  1169297512  -0.11442056  -0.37491292
1.4596800  0.3842200  1169299312  -0.20233330  -0.40304914
1.4596800  0.3842200  1169301112  -0.27171007  -0.41551688
1.4596800  0.3842200  1169302912  -0.31847101  -0.41523901
1.4596800  0.3842200  1169304712  -0.34028116  -0.40575424
1.4596800  0.3842200  1169306512  -0.33667007  -0.39089292
